training_time,TTC_H_ISS,TTC_M_ISS,TTC_G_ISS,TTC_C_ISS,Cap_H_ISS,Cap_M_ISS,Cap_G_ISS,Cap_C_ISS,Next_hop
94469.621,10105.379,5159.779,15837.479,7720.679,278.233,584.483,147.035,597.298,1
96278.724,8296.276,3350.676,14028.376,5911.576,278.233,584.483,147.035,597.298,1
96398.724,8176.276,3230.676,13908.376,5791.576,278.233,584.483,147.035,597.298,1
96935.678,7639.322,2693.722,13371.422,5254.622,278.233,584.483,147.035,597.298,1
97055.678,7519.322,2573.722,13251.422,5134.622,278.233,584.483,147.035,597.298,1
99569.401,5005.599,59.999,10737.699,2620.899,278.233,584.483,147.035,597.298,1
99689.401,4885.599,0,10617.699,2500.899,278.233,524.483,147.035,597.298,1
100153.884,4421.116,0,10153.216,2036.416,278.233,60,147.035,597.298,3
100273.884,4301.116,5241.616,10033.216,1916.416,278.233,552.535,147.035,597.298,3
102130.282,2444.718,3385.218,8176.818,60.018,278.233,552.535,147.035,597.298,3
102250.282,2324.718,3265.218,8056.818,0,278.233,552.535,147.035,537.299,3
102727.581,1847.419,2787.919,7579.519,0,278.233,552.535,147.035,60,1
102847.581,1727.419,2667.919,7459.519,5301.019,278.233,552.535,147.035,440.519,1
104514.958,60.042,1000.542,5792.142,3633.642,278.233,552.535,147.035,440.519,1
104634.958,0,880.542,5672.142,3513.642,218.234,552.535,147.035,440.519,1
104793.192,0,722.308,5513.908,3355.408,60,552.535,147.035,440.519,1
104913.192,5246.108,602.308,5393.908,3235.408,647.464,552.535,147.035,440.519,1
105455.481,4703.819,60.019,4851.619,2693.119,647.464,552.535,147.035,440.519,1
105575.481,4583.819,0,4731.619,2573.119,647.464,492.535,147.035,440.519,3
106008.016,4151.284,0,4299.084,2140.584,647.464,60,147.035,440.519,3
106128.016,4031.284,5212.684,4179.084,2020.584,647.464,620.866,147.035,440.519,3
108088.64,2070.66,3252.06,2218.46,59.96,647.464,620.866,147.035,440.519,3
108208.64,1950.66,3132.06,2098.46,0,647.464,620.866,147.035,380.518,0
108529.158,1630.142,2811.542,1777.942,0,647.464,620.866,147.035,60,0
108649.158,1510.142,2691.542,1657.942,5393.342,647.464,620.866,147.035,461.676,0
110099.255,60.045,1241.445,207.845,3943.245,647.464,620.866,147.035,461.676,0
110219.255,0,1121.445,87.845,3823.245,587.464,620.866,147.035,461.676,0
110247.091,0,1093.609,60.009,3795.409,559.628,620.866,147.035,461.676,0
110367.091,0,973.609,0,3675.409,439.628,620.866,87.035,461.676,0
110394.126,0,946.574,0,3648.374,412.593,620.866,60,461.676,0
110514.126,0,826.574,5308.074,3528.374,292.593,620.866,634.677,461.676,1
110746.719,0,593.981,5075.481,3295.781,60,620.866,634.677,461.676,1
110866.719,5169.981,473.981,4955.481,3175.781,538.318,620.866,634.677,461.676,1
111280.672,4756.028,60.028,4541.528,2761.828,538.318,620.866,634.677,461.676,1
111400.672,4636.028,0,4421.528,2641.828,538.318,560.866,634.677,461.676,1
111901.538,4135.162,0,3920.662,2140.962,538.318,60,634.677,461.676,3
112021.538,4015.162,5123.362,3800.662,2020.962,538.318,639.915,634.677,461.676,3
113982.517,2054.183,3162.383,1839.683,59.983,538.318,639.915,634.677,461.676,3
114102.517,1934.183,3042.383,1719.683,0,538.318,639.915,634.677,401.676,2
114444.193,1592.507,2700.707,1378.007,0,538.318,639.915,634.677,60,2
114564.193,1472.507,2580.707,1258.007,5271.107,538.318,639.915,634.677,619.494,2
115762.219,274.481,1382.681,59.981,4073.081,538.318,639.915,634.677,619.494,2
115882.219,154.481,1262.681,0,3953.081,538.318,639.915,574.678,619.494,2
115976.671,60.029,1168.229,0,3858.629,538.318,639.915,480.226,619.494,2
116096.671,0,1048.229,0,3738.629,478.318,639.915,360.226,619.494,0
116396.897,0,748.003,0,3438.403,178.092,639.915,60,619.494,1
116514.989,0,629.911,5135.311,3320.311,60,639.915,602.867,619.494,1
116516.897,0,628.003,5133.403,3318.403,58.092,639.915,602.867,619.494,1
116634.989,17195.511,509.911,5015.311,3200.311,444.032,639.915,602.867,619.494,1
117084.866,16745.634,60.034,4565.434,2750.434,444.032,639.915,602.867,619.494,1
117204.866,16625.634,0,4445.434,2630.434,444.032,579.915,602.867,619.494,1
117724.781,16105.719,0,3925.519,2110.519,444.032,60,602.867,619.494,3
117844.781,15985.719,5205.419,3805.519,1990.519,444.032,351.352,602.867,619.494,3
119775.346,14055.154,3274.854,1874.954,59.954,444.032,351.352,602.867,619.494,3
119895.346,13935.154,3154.854,1754.954,0,444.032,351.352,602.867,559.493,3
120394.839,13435.661,2655.361,1255.461,0,444.032,351.352,602.867,60,2
120514.839,13315.661,2535.361,1135.461,5119.661,444.032,351.352,602.867,645.186,2
121590.34,12240.16,1459.86,59.96,4044.16,444.032,351.352,602.867,645.186,2
121710.34,12120.16,1339.86,0,3924.16,444.032,351.352,542.867,645.186,2
122193.207,11637.293,856.993,0,3441.293,444.032,351.352,60,645.186,3
122313.207,11517.293,736.993,5291.293,3321.293,444.032,351.352,437.607,645.186,3
122990.208,10840.292,59.992,4614.292,2644.292,444.032,351.352,437.607,645.186,3
123110.208,10720.292,0,4494.292,2524.292,444.032,291.352,437.607,645.186,3
123341.56,10488.94,0,4262.94,2292.94,444.032,60,437.607,645.186,3
123461.56,10368.94,48140.64,4142.94,2172.94,444.032,469.188,437.607,645.186,3
125574.539,8255.961,46027.661,2029.961,59.961,444.032,469.188,437.607,645.186,3
125694.539,8135.961,45907.661,1909.961,0,444.032,469.188,437.607,585.185,3
126219.724,7610.776,45382.476,1384.776,0,444.032,469.188,437.607,60,2
126339.724,7490.776,45262.476,1264.776,5299.276,444.032,469.188,437.607,154.067,2
127544.488,6286.012,44057.712,60.012,4094.512,444.032,469.188,437.607,154.067,2
127664.488,6166.012,43937.712,0,3974.512,444.032,469.188,377.607,154.067,0
127982.095,5848.405,43620.105,0,3656.905,444.032,469.188,60,154.067,0
128102.095,5728.405,43500.105,5415.605,3536.905,444.032,469.188,418.151,154.067,0
131578.978,2251.522,40023.222,1938.722,60.022,444.032,469.188,418.151,154.067,0
131698.978,2131.522,39903.222,1818.722,0,444.032,469.188,418.151,94.067,0
131733.045,2097.455,39869.155,1784.655,0,444.032,469.188,418.151,60,0
131853.045,1977.455,39749.155,1664.655,48026.355,444.032,469.188,418.151,632.893,0
133457.749,372.751,38144.451,59.951,46421.651,444.032,469.188,418.151,632.893,0
133577.749,252.751,38024.451,0,46301.651,444.032,469.188,358.151,632.893,0
133770.508,59.992,37831.692,0,46108.892,444.032,469.188,165.392,632.893,0
133875.9,0,37726.3,0,46003.5,398.64,469.188,60,632.893,0
133890.508,0,37711.692,0,45988.892,384.032,469.188,45.392,632.893,0
133995.9,0,37606.3,5318.1,45883.5,278.64,469.188,582.813,632.893,2
134214.54,0,37387.66,5099.46,45664.86,60,469.188,582.813,632.893,2
134334.54,5239.66,37267.66,4979.46,45544.86,644.741,469.188,582.813,632.893,2
139254.032,320.168,32348.168,59.968,40625.368,644.741,469.188,582.813,632.893,2
139374.032,200.168,32228.168,0,40505.368,644.741,469.188,522.813,632.893,2
139514.184,60.016,32088.016,0,40365.216,644.741,469.188,382.661,632.893,0
139634.184,0,31968.016,0,40245.216,584.741,469.188,262.661,632.893,0
139836.845,0,31765.355,0,40042.555,382.08,469.188,60,632.893,0
139956.845,0,31645.355,5146.955,39922.555,262.08,469.188,644.29,632.893,2
140158.925,0,31443.275,4944.875,39720.475,60,469.188,644.29,632.893,2
140278.925,5150.775,31323.275,4824.875,39600.475,500.151,469.188,644.29,632.893,2
145043.79,385.91,26558.41,60.01,34835.61,500.151,469.188,644.29,632.893,2
145163.79,265.91,26438.41,0,34715.61,500.151,469.188,584.29,632.893,2
145369.667,60.033,26232.533,0,34509.733,500.151,469.188,378.413,632.893,0
145489.667,0,26112.533,0,34389.733,440.151,469.188,258.413,632.893,0
145688.08,0,25914.12,0,34191.32,241.738,469.188,60,632.893,0
145808.08,47892.02,25794.12,5218.42,34071.32,622.674,469.188,330.221,632.893,3
145869.818,47830.282,25732.382,5156.682,34009.582,622.674,469.188,330.221,632.893,3
145989.818,47710.282,25612.382,5036.682,33889.582,622.674,469.188,330.221,632.893,3
150966.262,42733.838,20635.938,60.238,28913.138,622.674,469.188,330.221,632.893,3
151086.262,42613.838,20515.938,0,28793.138,622.674,469.188,270.221,632.893,3
151296.483,42403.617,20305.717,0,28582.917,622.674,469.188,60,632.893,3
